Alcohol,malic acid, ash,alcalinity of ash,, total phenols, flavanoids, nonflavanoid phenols, proanthocyanins, color intensity, hue diluted wines,,,
1,0.1423,0.171,0.243,0.156,0.127,0.28,0.306,0.28,0.229,0.0564,0.104,0.392,0.1065
1,0.132,0.178,0.214,0.112,0.1,0.265,0.276,0.26,0.128,0.0438,0.105,0.34,0.105
1,0.1316,0.236,0.267,0.186,0.101,0.28,0.324,0.3,0.281,0.0568,0.103,0.317,0.1185
1,0.1437,0.195,0.25,0.168,0.113,0.385,0.349,0.24,0.218,0.078,0.086,0.345,0.148
1,0.1324,0.259,0.287,0.21,0.118,0.28,0.269,0.39,0.182,0.0432,0.104,0.293,0.0735
1,0.142,0.176,0.245,0.152,0.112,0.327,0.339,0.34,0.197,0.0675,0.105,0.285,0.145
1,0.1439,0.187,0.245,0.146,0.096,0.25,0.252,0.3,0.198,0.0525,0.102,0.358,0.129
1,0.1406,0.215,0.261,0.176,0.121,0.26,0.251,0.31,0.125,0.0505,0.106,0.358,0.1295
1,0.1483,0.164,0.217,0.14,0.097,0.28,0.298,0.29,0.198,0.052,0.108,0.285,0.1045
1,0.1386,0.135,0.227,0.16,0.098,0.298,0.315,0.22,0.185,0.0722,0.101,0.355,0.1045
1,0.141,0.216,0.23,0.18,0.105,0.295,0.332,0.22,0.238,0.0575,0.125,0.317,0.151
1,0.1412,0.148,0.232,0.168,0.095,0.22,0.243,0.26,0.157,0.05,0.117,0.282,0.128
1,0.1375,0.173,0.241,0.16,0.089,0.26,0.276,0.29,0.181,0.056,0.115,0.29,0.132
1,0.1475,0.173,0.239,0.114,0.091,0.31,0.369,0.43,0.281,0.054,0.125,0.273,0.115
1,0.1438,0.187,0.238,0.12,0.102,0.33,0.364,0.29,0.296,0.075,0.12,0.3,0.1547
1,0.1363,0.181,0.27,0.172,0.112,0.285,0.291,0.3,0.146,0.073,0.128,0.288,0.131
1,0.143,0.192,0.272,0.2,0.12,0.28,0.314,0.33,0.197,0.062,0.107,0.265,0.128
1,0.1383,0.157,0.262,0.2,0.115,0.295,0.34,0.4,0.172,0.066,0.113,0.257,0.113
1,0.1419,0.159,0.248,0.165,0.108,0.33,0.393,0.32,0.186,0.087,0.123,0.282,0.168
1,0.1364,0.31,0.256,0.152,0.116,0.27,0.303,0.17,0.166,0.051,0.096,0.336,0.0845
1,0.1406,0.163,0.228,0.16,0.126,0.3,0.317,0.24,0.21,0.0565,0.109,0.371,0.078
1,0.1293,0.38,0.265,0.186,0.102,0.241,0.241,0.25,0.198,0.045,0.103,0.352,0.077
1,0.1371,0.186,0.236,0.166,0.101,0.261,0.288,0.27,0.169,0.038,0.111,0.4,0.1035
1,0.1285,0.16,0.252,0.178,0.095,0.248,0.237,0.26,0.146,0.0393,0.109,0.363,0.1015
1,0.135,0.181,0.261,0.2,0.096,0.253,0.261,0.28,0.166,0.0352,0.112,0.382,0.0845
1,0.1305,0.205,0.322,0.25,0.124,0.263,0.268,0.47,0.192,0.0358,0.113,0.32,0.083
1,0.1339,0.177,0.262,0.161,0.093,0.285,0.294,0.34,0.145,0.048,0.092,0.322,0.1195
1,0.133,0.172,0.214,0.17,0.094,0.24,0.219,0.27,0.135,0.0395,0.102,0.277,0.1285
1,0.1387,0.19,0.28,0.194,0.107,0.295,0.297,0.37,0.176,0.045,0.125,0.34,0.0915
1,0.1402,0.168,0.221,0.16,0.096,0.265,0.233,0.26,0.198,0.047,0.104,0.359,0.1035
1,0.1373,0.15,0.27,0.225,0.101,0.3,0.325,0.29,0.238,0.057,0.119,0.271,0.1285
1,0.1358,0.166,0.236,0.191,0.106,0.286,0.319,0.22,0.195,0.069,0.109,0.288,0.1515
1,0.1368,0.183,0.236,0.172,0.104,0.242,0.269,0.42,0.197,0.0384,0.123,0.287,0.099
1,0.1376,0.153,0.27,0.195,0.132,0.295,0.274,0.5,0.135,0.054,0.125,0.3,0.1235
1,0.1351,0.18,0.265,0.19,0.11,0.235,0.253,0.29,0.154,0.042,0.11,0.287,0.1095
1,0.1348,0.181,0.241,0.205,0.1,0.27,0.298,0.26,0.186,0.051,0.104,0.347,0.092
1,0.1328,0.164,0.284,0.155,0.11,0.26,0.268,0.34,0.136,0.046,0.109,0.278,0.088
1,0.1305,0.165,0.255,0.18,0.098,0.245,0.243,0.29,0.144,0.0425,0.112,0.251,0.1105
1,0.1307,0.15,0.21,0.155,0.098,0.24,0.264,0.28,0.137,0.037,0.118,0.269,0.102
1,0.1422,0.399,0.251,0.132,0.128,0.3,0.304,0.2,0.208,0.051,0.089,0.353,0.076
1,0.1356,0.171,0.231,0.162,0.117,0.315,0.329,0.34,0.234,0.0613,0.095,0.338,0.0795
1,0.1341,0.384,0.212,0.188,0.09,0.245,0.268,0.27,0.148,0.0428,0.091,0.3,0.1035
1,0.1388,0.189,0.259,0.15,0.101,0.325,0.356,0.17,0.17,0.0543,0.088,0.356,0.1095
1,0.1324,0.398,0.229,0.175,0.103,0.264,0.263,0.32,0.166,0.0436,0.082,0.3,0.068
1,0.1305,0.177,0.21,0.17,0.107,0.3,0.3,0.28,0.203,0.0504,0.088,0.335,0.0885
1,0.1421,0.404,0.244,0.189,0.111,0.285,0.265,0.3,0.125,0.0524,0.087,0.333,0.108
1,0.1438,0.359,0.228,0.16,0.102,0.325,0.317,0.27,0.219,0.049,0.104,0.344,0.1065
1,0.139,0.168,0.212,0.16,0.101,0.31,0.339,0.21,0.214,0.061,0.091,0.333,0.0985
1,0.141,0.202,0.24,0.188,0.103,0.275,0.292,0.32,0.238,0.062,0.107,0.275,0.106
1,0.1394,0.173,0.227,0.174,0.108,0.288,0.354,0.32,0.208,0.089,0.112,0.31,0.126
1,0.1305,0.173,0.204,0.124,0.092,0.272,0.327,0.17,0.291,0.072,0.112,0.291,0.115
1,0.1383,0.165,0.26,0.172,0.094,0.245,0.299,0.22,0.229,0.056,0.124,0.337,0.1265
1,0.1382,0.175,0.242,0.14,0.111,0.388,0.374,0.32,0.187,0.0705,0.101,0.326,0.119
1,0.1377,0.19,0.268,0.171,0.115,0.3,0.279,0.39,0.168,0.063,0.113,0.293,0.1375
1,0.1374,0.167,0.225,0.164,0.118,0.26,0.29,0.21,0.162,0.0585,0.092,0.32,0.106
1,0.1356,0.173,0.246,0.205,0.116,0.296,0.278,0.2,0.245,0.0625,0.098,0.303,0.112
1,0.1422,0.17,0.23,0.163,0.118,0.32,0.3,0.26,0.203,0.0638,0.094,0.331,0.097
1,0.1329,0.197,0.268,0.168,0.102,0.3,0.323,0.31,0.166,0.06,0.107,0.284,0.127
1,0.1372,0.143,0.25,0.167,0.108,0.34,0.367,0.19,0.204,0.068,0.089,0.287,0.1285
2,0.1237,0.094,0.136,0.106,0.088,0.198,0.057,0.28,0.042,0.0195,0.105,0.182,0.052
2,0.1233,0.11,0.228,0.16,0.101,0.205,0.109,0.63,0.041,0.0327,0.125,0.167,0.068
2,0.1264,0.136,0.202,0.168,0.1,0.202,0.141,0.53,0.062,0.0575,0.098,0.159,0.045
2,0.1367,0.125,0.192,0.18,0.094,0.21,0.179,0.32,0.073,0.038,0.123,0.246,0.063
2,0.1237,0.113,0.216,0.19,0.087,0.35,0.31,0.19,0.187,0.0445,0.122,0.287,0.042
2,0.1217,0.145,0.253,0.19,0.104,0.189,0.175,0.45,0.103,0.0295,0.145,0.223,0.0355
2,0.1237,0.121,0.256,0.181,0.098,0.242,0.265,0.37,0.208,0.046,0.119,0.23,0.0678
2,0.1311,0.101,0.17,0.15,0.078,0.298,0.318,0.26,0.228,0.053,0.112,0.318,0.0502
2,0.1237,0.117,0.192,0.196,0.078,0.211,0.2,0.27,0.104,0.0468,0.112,0.348,0.051
2,0.1334,0.094,0.236,0.17,0.11,0.253,0.13,0.55,0.042,0.0317,0.102,0.193,0.075
2,0.1221,0.119,0.175,0.168,0.151,0.185,0.128,0.14,0.25,0.0285,0.128,0.307,0.0718
2,0.1229,0.161,0.221,0.204,0.103,0.11,0.102,0.37,0.146,0.0305,0.0906,0.182,0.087
2,0.1386,0.151,0.267,0.25,0.086,0.295,0.286,0.21,0.187,0.0338,0.136,0.316,0.041
2,0.1349,0.166,0.224,0.24,0.087,0.188,0.184,0.27,0.103,0.0374,0.098,0.278,0.0472
2,0.1299,0.167,0.26,0.3,0.139,0.33,0.289,0.21,0.196,0.0335,0.131,0.35,0.0985
2,0.1196,0.109,0.23,0.21,0.101,0.338,0.214,0.13,0.165,0.0321,0.099,0.313,0.0886
2,0.1166,0.188,0.192,0.16,0.097,0.161,0.157,0.34,0.115,0.038,0.123,0.214,0.0428
2,0.1303,0.09,0.171,0.16,0.086,0.195,0.203,0.24,0.146,0.046,0.119,0.248,0.0392
2,0.1184,0.289,0.223,0.18,0.112,0.172,0.132,0.43,0.095,0.0265,0.096,0.252,0.05
2,0.1233,0.099,0.195,0.148,0.136,0.19,0.185,0.35,0.276,0.034,0.106,0.231,0.075
2,0.127,0.387,0.24,0.23,0.101,0.283,0.255,0.43,0.195,0.0257,0.119,0.313,0.0463
2,0.12,0.092,0.2,0.19,0.086,0.242,0.226,0.3,0.143,0.025,0.138,0.312,0.0278
2,0.1272,0.181,0.22,0.188,0.086,0.22,0.253,0.26,0.177,0.039,0.116,0.314,0.0714
2,0.1208,0.113,0.251,0.24,0.078,0.2,0.158,0.4,0.14,0.022,0.131,0.272,0.063
2,0.1305,0.386,0.232,0.225,0.085,0.165,0.159,0.61,0.162,0.048,0.084,0.201,0.0515
2,0.1184,0.089,0.258,0.18,0.094,0.22,0.221,0.22,0.235,0.0305,0.079,0.308,0.052
2,0.1267,0.098,0.224,0.18,0.099,0.22,0.194,0.3,0.146,0.0262,0.123,0.316,0.045
2,0.1216,0.161,0.231,0.228,0.09,0.178,0.169,0.43,0.156,0.0245,0.133,0.226,0.0495
2,0.1165,0.167,0.262,0.26,0.088,0.192,0.161,0.4,0.134,0.026,0.136,0.321,0.0562
2,0.1164,0.206,0.246,0.216,0.084,0.195,0.169,0.48,0.135,0.028,0.1,0.275,0.068
2,0.1208,0.133,0.23,0.236,0.07,0.22,0.159,0.42,0.138,0.0174,0.107,0.321,0.0625
2,0.1208,0.183,0.232,0.185,0.081,0.16,0.15,0.52,0.164,0.024,0.108,0.227,0.048
2,0.12,0.151,0.242,0.22,0.086,0.145,0.125,0.5,0.163,0.036,0.105,0.265,0.045
2,0.1269,0.153,0.226,0.207,0.08,0.138,0.146,0.58,0.162,0.0305,0.096,0.206,0.0495
2,0.1229,0.283,0.222,0.18,0.088,0.245,0.225,0.25,0.199,0.0215,0.115,0.33,0.029
2,0.1162,0.199,0.228,0.18,0.098,0.302,0.226,0.17,0.135,0.0325,0.116,0.296,0.0345
2,0.1247,0.152,0.22,0.19,0.162,0.25,0.227,0.32,0.328,0.026,0.116,0.263,0.0937
2,0.1181,0.212,0.274,0.215,0.134,0.16,0.099,0.14,0.156,0.025,0.095,0.226,0.0625
2,0.1229,0.141,0.198,0.16,0.085,0.255,0.25,0.29,0.177,0.029,0.123,0.274,0.0428
2,0.1237,0.107,0.21,0.185,0.088,0.352,0.375,0.24,0.195,0.045,0.104,0.277,0.066
2,0.1229,0.317,0.221,0.18,0.088,0.285,0.299,0.45,0.281,0.023,0.142,0.283,0.0406
2,0.1208,0.208,0.17,0.175,0.097,0.223,0.217,0.26,0.14,0.033,0.127,0.296,0.071
2,0.126,0.134,0.19,0.185,0.088,0.145,0.136,0.29,0.135,0.0245,0.104,0.277,0.0562
2,0.1234,0.245,0.246,0.21,0.098,0.256,0.211,0.34,0.131,0.028,0.08,0.338,0.0438
2,0.1182,0.172,0.188,0.195,0.086,0.25,0.164,0.37,0.142,0.0206,0.094,0.244,0.0415
2,0.1251,0.173,0.198,0.205,0.085,0.22,0.192,0.32,0.148,0.0294,0.104,0.357,0.0672
2,0.1242,0.255,0.227,0.22,0.09,0.168,0.184,0.66,0.142,0.027,0.086,0.33,0.0315
2,0.1225,0.173,0.212,0.19,0.08,0.165,0.203,0.37,0.163,0.034,0.1,0.317,0.051
2,0.1272,0.175,0.228,0.225,0.084,0.138,0.176,0.48,0.163,0.033,0.088,0.242,0.0488
2,0.1222,0.129,0.194,0.19,0.092,0.236,0.204,0.39,0.208,0.027,0.086,0.302,0.0312
2,0.1161,0.135,0.27,0.2,0.094,0.274,0.292,0.29,0.249,0.0265,0.096,0.326,0.068
2,0.1146,0.374,0.182,0.195,0.107,0.318,0.258,0.24,0.358,0.029,0.075,0.281,0.0562
2,0.1252,0.243,0.217,0.21,0.088,0.255,0.227,0.26,0.122,0.02,0.09,0.278,0.0325
2,0.1176,0.268,0.292,0.2,0.103,0.175,0.203,0.6,0.105,0.038,0.123,0.25,0.0607
2,0.1141,0.074,0.25,0.21,0.088,0.248,0.201,0.42,0.144,0.0308,0.11,0.231,0.0434
2,0.1208,0.139,0.25,0.225,0.084,0.256,0.229,0.43,0.104,0.029,0.093,0.319,0.0385
2,0.1103,0.151,0.22,0.215,0.085,0.246,0.217,0.52,0.201,0.019,0.171,0.287,0.0407
2,0.1182,0.147,0.199,0.208,0.086,0.198,0.16,0.3,0.153,0.0195,0.095,0.333,0.0495
2,0.1242,0.161,0.219,0.225,0.108,0.2,0.209,0.34,0.161,0.0206,0.106,0.296,0.0345
2,0.1277,0.343,0.198,0.16,0.08,0.163,0.125,0.43,0.083,0.034,0.07,0.212,0.0372
2,0.12,0.343,0.2,0.19,0.087,0.2,0.164,0.37,0.187,0.0128,0.093,0.305,0.0564
2,0.1145,0.24,0.242,0.2,0.096,0.29,0.279,0.32,0.183,0.0325,0.08,0.339,0.0625
2,0.1156,0.205,0.323,0.285,0.119,0.318,0.508,0.47,0.187,0.06,0.093,0.369,0.0465
2,0.1242,0.443,0.273,0.265,0.102,0.22,0.213,0.43,0.171,0.0208,0.092,0.312,0.0365
2,0.1305,0.58,0.213,0.215,0.086,0.262,0.265,0.3,0.201,0.026,0.073,0.31,0.038
2,0.1187,0.431,0.239,0.21,0.082,0.286,0.303,0.21,0.291,0.028,0.075,0.364,0.038
2,0.1207,0.216,0.217,0.21,0.085,0.26,0.265,0.37,0.135,0.0276,0.086,0.328,0.0378
2,0.1243,0.153,0.229,0.215,0.086,0.274,0.315,0.39,0.177,0.0394,0.069,0.284,0.0352
2,0.1179,0.213,0.278,0.285,0.092,0.213,0.224,0.58,0.176,0.03,0.097,0.244,0.0466
2,0.1237,0.163,0.23,0.245,0.088,0.222,0.245,0.4,0.19,0.0212,0.089,0.278,0.0342
2,0.1204,0.43,0.238,0.22,0.08,0.21,0.175,0.42,0.135,0.026,0.079,0.257,0.058
3,0.1286,0.135,0.232,0.18,0.122,0.151,0.125,0.21,0.094,0.041,0.076,0.129,0.063
3,0.1288,0.299,0.24,0.2,0.104,0.13,0.122,0.24,0.083,0.054,0.074,0.142,0.053
3,0.1281,0.231,0.24,0.24,0.098,0.115,0.109,0.27,0.083,0.057,0.066,0.136,0.056
3,0.127,0.355,0.236,0.215,0.106,0.17,0.12,0.17,0.084,0.05,0.078,0.129,0.06
3,0.1251,0.124,0.225,0.175,0.085,0.2,0.058,0.6,0.125,0.0545,0.075,0.151,0.065
3,0.126,0.246,0.22,0.185,0.094,0.162,0.066,0.63,0.094,0.071,0.073,0.158,0.0695
3,0.1225,0.472,0.254,0.21,0.089,0.138,0.047,0.53,0.08,0.0385,0.075,0.127,0.072
3,0.1253,0.551,0.264,0.25,0.096,0.179,0.06,0.63,0.11,0.05,0.082,0.169,0.0515
3,0.1349,0.359,0.219,0.195,0.088,0.162,0.048,0.58,0.088,0.057,0.081,0.182,0.058
3,0.1284,0.296,0.261,0.24,0.101,0.232,0.06,0.53,0.081,0.0492,0.089,0.215,0.059
3,0.1293,0.281,0.27,0.21,0.096,0.154,0.05,0.53,0.075,0.046,0.077,0.231,0.06
3,0.1336,0.256,0.235,0.2,0.089,0.14,0.05,0.37,0.064,0.056,0.07,0.247,0.078
3,0.1352,0.317,0.272,0.235,0.097,0.155,0.052,0.5,0.055,0.0435,0.089,0.206,0.052
3,0.1362,0.495,0.235,0.2,0.092,0.2,0.08,0.47,0.102,0.044,0.091,0.205,0.055
3,0.1225,0.388,0.22,0.185,0.112,0.138,0.078,0.29,0.114,0.0821,0.065,0.2,0.0855
3,0.1316,0.357,0.215,0.21,0.102,0.15,0.055,0.43,0.13,0.04,0.06,0.168,0.083
3,0.1388,0.504,0.223,0.2,0.08,0.098,0.034,0.4,0.068,0.049,0.058,0.133,0.0415
3,0.1287,0.461,0.248,0.215,0.086,0.17,0.065,0.47,0.086,0.0765,0.054,0.186,0.0625
3,0.1332,0.324,0.238,0.215,0.092,0.193,0.076,0.45,0.125,0.0842,0.055,0.162,0.065
3,0.1308,0.39,0.236,0.215,0.113,0.141,0.139,0.34,0.114,0.094,0.057,0.133,0.055
3,0.135,0.312,0.262,0.24,0.123,0.14,0.157,0.22,0.125,0.086,0.059,0.13,0.05
3,0.1279,0.267,0.248,0.22,0.112,0.148,0.136,0.24,0.126,0.108,0.048,0.147,0.048
3,0.1311,0.19,0.275,0.255,0.116,0.22,0.128,0.26,0.156,0.071,0.061,0.133,0.0425
3,0.1323,0.33,0.228,0.185,0.098,0.18,0.083,0.61,0.187,0.1052,0.056,0.151,0.0675
3,0.1258,0.129,0.21,0.2,0.103,0.148,0.058,0.53,0.14,0.076,0.058,0.155,0.064
3,0.1317,0.519,0.232,0.22,0.093,0.174,0.063,0.61,0.155,0.079,0.06,0.148,0.0725
3,0.1384,0.412,0.238,0.195,0.089,0.18,0.083,0.48,0.156,0.0901,0.057,0.164,0.048
3,0.1245,0.303,0.264,0.27,0.097,0.19,0.058,0.63,0.114,0.075,0.067,0.173,0.088
3,0.1434,0.168,0.27,0.25,0.098,0.28,0.131,0.53,0.27,0.13,0.057,0.196,0.066
3,0.1348,0.167,0.264,0.225,0.089,0.26,0.11,0.52,0.229,0.1175,0.057,0.178,0.062
3,0.1236,0.383,0.238,0.21,0.088,0.23,0.092,0.5,0.104,0.0765,0.056,0.158,0.052
3,0.1369,0.326,0.254,0.2,0.107,0.183,0.056,0.5,0.08,0.0588,0.096,0.182,0.068
3,0.1285,0.327,0.258,0.22,0.106,0.165,0.06,0.6,0.096,0.0558,0.087,0.211,0.057
3,0.1296,0.345,0.235,0.185,0.106,0.139,0.07,0.4,0.094,0.0528,0.068,0.175,0.0675
3,0.1378,0.276,0.23,0.22,0.09,0.135,0.068,0.41,0.103,0.0958,0.07,0.168,0.0615
3,0.1373,0.436,0.226,0.225,0.088,0.128,0.047,0.52,0.115,0.0662,0.078,0.175,0.052
3,0.1345,0.37,0.26,0.23,0.111,0.17,0.092,0.43,0.146,0.1068,0.085,0.156,0.0695
3,0.1282,0.337,0.23,0.195,0.088,0.148,0.066,0.4,0.097,0.1026,0.072,0.175,0.0685
3,0.1358,0.258,0.269,0.245,0.105,0.155,0.084,0.39,0.154,0.0866,0.074,0.18,0.075
3,0.134,0.46,0.286,0.25,0.112,0.198,0.096,0.27,0.111,0.085,0.067,0.192,0.063
3,0.122,0.303,0.232,0.19,0.096,0.125,0.049,0.4,0.073,0.055,0.066,0.183,0.051
3,0.1277,0.239,0.228,0.195,0.086,0.139,0.051,0.48,0.064,0.09899999,0.057,0.163,0.047
3,0.1416,0.251,0.248,0.2,0.091,0.168,0.07,0.44,0.124,0.097,0.062,0.171,0.066
3,0.1371,0.565,0.245,0.205,0.095,0.168,0.061,0.52,0.106,0.077,0.064,0.174,0.074
3,0.134,0.391,0.248,0.23,0.102,0.18,0.075,0.43,0.141,0.073,0.07,0.156,0.075
3,0.1327,0.428,0.226,0.2,0.12,0.159,0.069,0.43,0.135,0.102,0.059,0.156,0.0835
3,0.1317,0.259,0.237,0.2,0.12,0.165,0.068,0.53,0.146,0.093,0.06,0.162,0.084
3,0.1413,0.41,0.274,0.245,0.096,0.205,0.076,0.56,0.135,0.092,0.061,0.16,0.056
